name,job_role,attendance,department,Post,Equity(in %),Experience(in years),nClients,test_scores(out of 100),skills,salary(in rs)
Sariq Ghosh,Recruitment Specialist,94,Human Resources (HR),Manager/Supervisor,0.55,9.5,26,68,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Employee Relations and Conflict Resolution} , {Adaptability and Flexibility} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {HR Analytics and Reporting} , {Performance Management} , {Communication and Interpersonal Skills} , {Problem Solving and Decision Making} , {Conflict Resolution and Mediation} , {Leadership and Team Management} , {HRIS (Human Resources Information System) Management",138000
Valin Nair Menon,Market Research Analyst,84,Sales and Marketing,Entry Level/Junior,0.31,0.5,4,81,"Pricing Strategies and Competitive Analysis} , {Sales Forecasting and Planning} , {Sales Analytics and Reporting} , {Customer Relationship Management (CRM)",68000
Tej Dhawan,Product Development Manager,48,Research and Development (R&D),Manager/Supervisor,0.51,11.2,76,88,"Communication and Presentation Skills} , {Collaboration and Teamwork} , {Laboratory Techniques and Equipment} , {Critical Thinking and Problem Solving} , {Statistical Analysis and Modeling} , {Leadership and Mentoring} , {Networking and Relationship Building} , {Time Management and Prioritization} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Project Management} , {Intellectual Property Management",160000
Jamaica Khan Sheikh,Production Supervisor,84,Operations,Senior/Lead,0.67,8.9,19,95,"Supply Chain Management} , {Process Optimization and Efficiency} , {Customer Focus} , {Logistics and Transportation} , {Strategic Thinking} , {Analytical Thinking} , {Leadership and Team Management} , {Inventory Management} , {Communication and Collaboration} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Production Planning and Control",209000
Shalee Burman,Warehouse Manager,90,Operations,Entry Level/Junior,0.08,0.9,4,37,"Supply Chain Management} , {Process Optimization and Efficiency} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Time Management and Prioritization} , {Lean Six Sigma} , {Problem Solving and Decision Making",145000
Vivan Deol,Corporate Counsel,92,Legal and Compliance,Associate/Specialist,0.17,1.1,3,56,"Legal Research and Analysis} , {Analytical and Critical Thinking} , {Regulatory Compliance} , {Ethical Conduct and Professionalism} , {Teamwork and Collaboration} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Data Privacy and Protection} , {Corporate Governance",56000
Charita Kumar Singh,Customer Support Specialist,85,Customer Support,Entry Level/Junior,0.38,0.9,1,66,"Remote Desktop and Screen Sharing} , {Knowledge Base and Self-Service Platforms} , {Quality Assurance and Call Monitoring} , {Communication Tools (e.g., Live Chat, Email)",43000
Angee Gill,Scrum Master,79,Project Management,Manager/Supervisor,0.78,9.3,43,54,"Project Monitoring and Control} , {Quality Management} , {Resource Allocation and Management} , {Continuous Improvement and Learning} , {Project Planning and Scheduling} , {Adaptability and Flexibility} , {Risk Management} , {Budgeting and Financial Management} , {Stakeholder Management} , {Reporting and Documentation} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Stakeholder Engagement",141000
Harshad Purohit,Sales Representative,94,Sales and Marketing,Mid-Level/Intermediate,0.5,3.6,15,39,"Relationship Building and Networking} , {Social Media Marketing} , {Market Research and Analysis} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Sales Funnel Management} , {Strategic Thinking and Planning} , {Leadership and Mentoring} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Adaptability and Flexibility",89000
Devaki Bajwa,HR Generalist,82,Human Resources (HR),Entry Level/Junior,0.26,0.8,0,49,"Employee Relations and Conflict Resolution} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",62000
Aadhira Deshmukh Pawar,Compliance Officer,79,Legal and Compliance,Mid-Level/Intermediate,0.55,3.4,5,68,"Mergers and Acquisitions} , {Time Management and Organization} , {Adaptability and Flexibility} , {Employment Law and Labor Regulations} , {Regulatory Compliance} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Communication and Negotiation Skills} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",73000
Shanti Mahajan,Regulatory Affairs Specialist,82,Legal and Compliance,Entry Level/Junior,0.27,0.2,1,40,"Litigation and Dispute Resolution} , {Data Privacy and Protection} , {Regulatory Compliance",40000
Patchouli Chowdhury,Innovation Manager,87,Research and Development (R&D),Manager/Supervisor,1.22,8.6,62,36,"Communication and Presentation Skills} , {Networking and Relationship Building} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Collaboration and Teamwork} , {Adaptability and Flexibility} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Creativity and Innovation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Experimental Design and Prototyping} , {Project Management} , {Intellectual Property Management",137000
Dharinee Bhatt,Compliance Officer,82,Legal and Compliance,Mid-Level/Intermediate,0.01,4.1,3,67,"Time Management and Organization} , {Analytical and Critical Thinking} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Teamwork and Collaboration} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Adaptability and Flexibility} , {Corporate Governance",71000
Durga Dhillon,Tax Specialist,82,Finance and Accounting,Senior/Lead,0.1,8.1,2,67,"Communication and Presentation Skills} , {ERP (Enterprise Resource Planning) System Proficiency} , {Analytical and Critical Thinking} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Teamwork and Collaboration} , {Cash Flow Management} , {Budgeting and Forecasting} , {Financial Modeling} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Financial Statement Preparation",121000
Adhiraj Anand,Sales Representative,88,Sales and Marketing,Associate/Specialist,0.81,2.1,11,46,"Relationship Building and Networking} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Sales Analytics and Reporting} , {Sales Funnel Management} , {Leadership and Mentoring} , {Creativity and Innovation} , {Market Research and Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",80000
Alok Patel,Software Engineer,97,Information Technology (IT),Entry Level/Junior,0.93,0.8,6,64,"Programming and Software Development} , {System Administration} , {Database Management} , {Network and Infrastructure Management} , {Cloud Computing} , {Communication and Collaboration",77000
Chandrima Ahuja,Product Development Manager,88,Research and Development (R&D),Manager/Supervisor,1.27,8.5,24,31,"Strategic Thinking} , {Adaptability and Flexibility} , {Technical Writing and Documentation} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Leadership and Mentoring} , {Networking and Relationship Building} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Project Management",132000
Hiral Chabra,Scrum Master,83,Project Management,Manager/Supervisor,0.75,9.6,23,36,"Project Monitoring and Control} , {Quality Management} , {Resource Allocation and Management} , {Continuous Improvement and Learning} , {Project Planning and Scheduling} , {Risk Management} , {Budgeting and Financial Management} , {Stakeholder Management} , {Communication and Negotiation Skills} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Leadership and Team Management} , {Time Management and Prioritization} , {Conflict Resolution} , {Change Management} , {Stakeholder Engagement",139000
Jhalak Garg,Legal Assistant,84,Legal and Compliance,Entry Level/Junior,0.19,0.1,2,94,"Mergers and Acquisitions} , {Time Management and Organization} , {Employment Law and Labor Regulations} , {Ethical Conduct and Professionalism} , {Contract Drafting and Review} , {Intellectual Property Rights} , {Data Privacy and Protection",51000
Tarana Chakrabarti,Compliance Officer,75,Legal and Compliance,Associate/Specialist,0.71,2.2,6,39,"Mergers and Acquisitions} , {Legal Research and Analysis} , {Time Management and Organization} , {Employment Law and Labor Regulations} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Teamwork and Collaboration} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Corporate Governance",57000
Shantai Dalal,Supply Chain Manager,83,Operations,Senior/Lead,0.4,6.2,15,56,"Process Optimization and Efficiency} , {Customer Focus} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Quality Control and Assurance} , {Analytical Thinking} , {Risk Management} , {Continuous Improvement Mindset} , {Inventory Management} , {Communication and Collaboration} , {Lean Six Sigma} , {Production Planning and Control} , {Negotiation and Conflict Resolution",254000
Amruta Malhotra,Regulatory Affairs Specialist,75,Legal and Compliance,Associate/Specialist,0.57,1.4,3,58,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Legal Research and Analysis} , {Employment Law and Labor Regulations} , {Regulatory Compliance} , {Ethical Conduct and Professionalism} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Corporate Governance",61000
Ashvaghosha Ganguly,Production Supervisor,76,Operations,Associate/Specialist,0.51,3.9,4,90,"Process Optimization and Efficiency} , {Supply Chain Management} , {Data Analysis and Reporting} , {Logistics and Transportation} , {Analytical Thinking} , {Risk Management} , {Leadership and Team Management} , {Production Planning and Control} , {Time Management and Prioritization} , {Lean Six Sigma",170000
Shyla Balakrishnan,Employee Relations Specialist,80,Human Resources (HR),Senior/Lead,0.61,8.0,14,94,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Adaptability and Flexibility} , {Leadership and Team Management} , {HR Analytics and Reporting} , {Performance Management} , {Problem Solving and Decision Making} , {Conflict Resolution and Mediation",121000
Aditi Reddy Naidu,Public Relations Specialist,92,Sales and Marketing,Associate/Specialist,0.57,2.0,14,57,"Relationship Building and Networking} , {Sales Forecasting and Planning} , {Social Media Marketing} , {Market Research and Analysis} , {Strategic Thinking and Planning} , {Communication and Interpersonal Skills} , {Creativity and Innovation} , {Pricing Strategies and Competitive Analysis} , {Problem Solving and Decision Making",81000
Ajia Chatterjee Mukherjee,Project Manager,92,Project Management,Manager/Supervisor,0.99,11.8,25,88,"Project Monitoring and Control} , {Quality Management} , {Continuous Improvement and Learning} , {Project Planning and Scheduling} , {Budgeting and Financial Management} , {Stakeholder Management} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",165000
Aarna Dhillon,Compensation and Benefits Specialist,80,Human Resources (HR),Associate/Specialist,0.96,3.6,2,82,"Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Adaptability and Flexibility} , {Confidentiality and Trustworthiness} , {Business Acumen and Strategic Thinking} , {Performance Management} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",90000
Shantay Naidu,Digital Marketer,74,Sales and Marketing,Senior/Lead,0.69,8.7,19,54,"Relationship Building and Networking} , {Social Media Marketing} , {Sales Forecasting and Planning} , {Creativity and Innovation} , {Sales Analytics and Reporting} , {Sales Funnel Management} , {Time Management and Prioritization} , {Leadership and Mentoring} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making} , {Communication and Interpersonal Skills",123000
Sony Bhatt,Employee Relations Specialist,77,Human Resources (HR),Entry Level/Junior,0.93,0.1,2,41,"Performance Management} , {Employee Onboarding and Offboarding} , {HR Compliance and Legal Knowledge",63000
Kirani Banerjee,Call Center Supervisor,92,Customer Support,Associate/Specialist,0.46,1.8,3,86,"Continuous Learning and Skill Enhancement} , {Ticketing Systems and CRM Software} , {Product Knowledge} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Teamwork and Collaboration} , {Problem Solving and Critical Thinking} , {Communication and Active Listening} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving",61000
Amata Seth,Legal Assistant,83,Legal and Compliance,Entry Level/Junior,0.33,0.8,1,87,"Data Privacy and Protection} , {Risk Assessment and Management} , {Intellectual Property Rights} , {Litigation and Dispute Resolution",48000
Januja Banerjee Dasgupta,Project Coordinator,92,Project Management,Manager/Supervisor,1.49,10.1,33,49,"Quality Management} , {Continuous Improvement and Learning} , {Project Planning and Scheduling} , {Budgeting and Financial Management} , {Stakeholder Management} , {Reporting and Documentation} , {Leadership and Team Management} , {Time Management and Prioritization} , {Adaptability and Flexibility} , {Change Management} , {Stakeholder Engagement",145000
Kalynda Kashyap,Team Lead,77,Project Management,Manager/Supervisor,1.37,9.9,77,85,"Quality Management} , {Project Monitoring and Control} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Adaptability and Flexibility} , {Risk Management} , {Budgeting and Financial Management} , {Stakeholder Management} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",152000
Daivat Khan Sheikh,Customer Support Specialist,90,Customer Support,Mid-Level/Intermediate,0.85,3.3,3,75,"Ticketing Systems and CRM Software} , {Product Knowledge} , {Patience and Resilience} , {Quality Assurance and Call Monitoring} , {Positive Attitude and Professionalism} , {Problem Solving and Critical Thinking} , {Knowledge Base and Self-Service Platforms} , {Multi-Channel Support (Phone, Chat, Email)} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility",70000
Dayaram Sharma Gupta,Research Analyst,40,Research and Development (R&D),Manager/Supervisor,0.88,11.8,80,44,"Communication and Presentation Skills} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Collaboration and Teamwork} , {Adaptability and Flexibility} , {Experimental Design and Prototyping} , {Technical Writing and Documentation} , {Data Analysis and Interpretation} , {Time Management and Prioritization} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Networking and Relationship Building",160000
Aanan Mani,IT Support Specialist,75,Information Technology (IT),Mid-Level/Intermediate,0.56,5.2,13,96,"IT Risk Assessment and Mitigation} , {Time Management and Organization} , {Programming and Software Development} , {System Administration} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Continuous Learning and Professional Development} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",110000
Dhaval Mahajan,Project Manager,75,Project Management,Mid-Level/Intermediate,0.66,4.6,14,92,"Project Monitoring and Control} , {Quality Management} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Risk Management} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Continuous Improvement and Learning} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",103000
Abhaya Zacharia,Logistics Coordinator,91,Operations,Mid-Level/Intermediate,0.49,4.5,14,74,"Process Optimization and Efficiency} , {Supply Chain Management} , {Data Analysis and Reporting} , {Quality Control and Assurance} , {Problem Solving and Decision Making} , {Customer Focus} , {Strategic Thinking} , {Inventory Management} , {Production Planning and Control} , {Time Management and Prioritization} , {Adaptability and Flexibility",98000
Sarbjit Saxena,Network Administrator,47,Information Technology (IT),Entry Level/Junior,0.8,0.6,4,53,"System Administration} , {IT Troubleshooting and Support} , {Cloud Computing} , {IT Project Management} , {Cybersecurity and Data Protection",72000
Beeja Khanna,Web Developer,81,Information Technology (IT),Mid-Level/Intermediate,0.85,4.0,18,36,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Programming and Software Development} , {System Administration} , {Database Management} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {Problem Solving and Critical Thinking} , {IT Troubleshooting and Support} , {Leadership and Team Management} , {IT Governance and Compliance} , {Communication and Collaboration} , {Cybersecurity and Data Protection",96000
Ashwin Kulkarni,IT Support Specialist,82,Information Technology (IT),Entry Level/Junior,0.9,0.1,0,42,"IT Service Management} , {Programming and Software Development} , {IT Troubleshooting and Support} , {Communication and Collaboration} , {Continuous Learning and Professional Development",70000
Anura Rana Verma,Production Supervisor,77,Operations,Senior/Lead,0.24,6.1,22,43,"Supply Chain Management} , {Process Optimization and Efficiency} , {Quality Control and Assurance} , {Logistics and Transportation} , {Customer Focus} , {Analytical Thinking} , {Leadership and Team Management} , {Lean Six Sigma} , {Adaptability and Flexibility} , {Negotiation and Conflict Resolution",182000
Anbu Chakrabarti,Employee Relations Specialist,90,Human Resources (HR),Mid-Level/Intermediate,0.62,5.6,4,87,"Business Acumen and Strategic Thinking} , {Training and Development} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {Employee Engagement and Retention} , {Communication and Interpersonal Skills} , {HR Compliance and Legal Knowledge} , {Performance Management} , {Empathy and Emotional Intelligence} , {Problem Solving and Decision Making} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",104000
Shaylah Kulkarni,HR Generalist,90,Human Resources (HR),Senior/Lead,0.81,5.2,13,86,"Time Management and Organization} , {Problem Solving and Decision Making} , {Training and Development} , {Employee Relations and Conflict Resolution} , {Employee Engagement and Retention} , {Empathy and Emotional Intelligence} , {Business Acumen and Strategic Thinking} , {Performance Management} , {Leadership and Team Management} , {Adaptability and Flexibility} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",110000
Alka Dixit,Financial Analyst,98,Finance and Accounting,Mid-Level/Intermediate,0.95,4.0,2,91,"Communication and Presentation Skills} , {Problem Solving and Decision Making} , {Risk Management and Analysis} , {Tax Planning and Compliance} , {Continuous Learning and Keeping up with Regulatory Changes} , {Attention to Detail} , {Cost Accounting} , {Financial Modeling} , {Financial Analysis and Reporting} , {Business Acumen and Strategic Thinking} , {Adaptability and Flexibility",102000
Aja Balakrishnan,Scrum Master,77,Project Management,Entry Level/Junior,0.67,0.9,3,90,"Quality Management} , {Resource Allocation and Management} , {Risk Management} , {Presentation and Public Speaking",74000
Hanita Anthony,Digital Marketer,90,Sales and Marketing,Mid-Level/Intermediate,0.48,6.0,14,41,"Social Media Marketing} , {Market Research and Analysis} , {Product/Service Positioning and Branding} , {Digital Marketing and Analytics} , {Adaptability and Flexibility} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Leadership and Mentoring} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions} , {Problem Solving and Decision Making",97000
Chandrakanta Chatterjee Ghosh,Database Administrator,80,Information Technology (IT),Entry Level/Junior,0.94,0.8,1,71,"IT Service Management} , {Time Management and Organization} , {Programming and Software Development} , {IT Troubleshooting and Support} , {Continuous Learning and Professional Development} , {IT Project Management",76000
Lalam Khurana,Software Engineer,84,Information Technology (IT),Associate/Specialist,0.93,2.2,3,46,"IT Service Management} , {IT Risk Assessment and Mitigation} , {Customer Service and Relationship Management} , {Database Management} , {Problem Solving and Critical Thinking} , {Leadership and Team Management} , {Cloud Computing} , {Adaptability and Flexibility} , {Cybersecurity and Data Protection} , {Analytical and Data Interpretation Skills",85000
Devraj Laghari,Treasury Analyst,79,Finance and Accounting,Entry Level/Junior,0.91,0.1,0,38,"Tax Planning and Compliance} , {Teamwork and Collaboration} , {Cash Flow Management} , {Budgeting and Forecasting} , {Cost Accounting} , {Financial Modeling} , {Adaptability and Flexibility",69000
Anuradha Rao Prasad,Quality Control Analyst,84,Quality Assurance (QA),Manager/Supervisor,1.02,8.9,78,93,"Root Cause Analysis} , {Critical Thinking} , {Time Management and Organization} , {Analytical and Problem-Solving Skills} , {Quality Management Systems (QMS)} , {Defect Tracking and Management} , {Test Automation} , {Teamwork and Interpersonal Skills} , {Risk Assessment and Mitigation} , {Validation and Verification} , {Process Improvement",221000
Angayarkanni Reddy Naidu,Training and Development Manager,80,Human Resources (HR),Senior/Lead,0.27,7.1,7,38,"Business Acumen and Strategic Thinking} , {Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Ethical and Professional Conduct} , {Confidentiality and Trustworthiness} , {HR Analytics and Reporting} , {Leadership and Team Management} , {HR Compliance and Legal Knowledge} , {Performance Management} , {Empathy and Emotional Intelligence} , {Problem Solving and Decision Making} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",109000
Adamya Khatri,Research Scientist,53,Research and Development (R&D),Manager/Supervisor,1.41,10.6,44,51,"Communication and Presentation Skills} , {Creativity and Innovation} , {Quality Control and Assurance} , {Programming and Software Development} , {Strategic Thinking} , {Adaptability and Flexibility} , {Experimental Design and Prototyping} , {Laboratory Techniques and Equipment} , {Data Analysis and Interpretation} , {Critical Thinking and Problem Solving} , {Leadership and Mentoring} , {Networking and Relationship Building} , {Research Methodology and Design} , {Statistical Analysis and Modeling} , {Project Management} , {Intellectual Property Management",155000
Darpitaa Puri,Account Manager,47,Sales and Marketing,Entry Level/Junior,0.61,0.1,4,58,"Sales Analytics and Reporting} , {Social Media Marketing} , {Sales Forecasting and Planning",142000
Shakeela Choudhary Yadav,Regulatory Affairs Specialist,78,Legal and Compliance,Associate/Specialist,0.23,2.0,2,44,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Analytical and Critical Thinking} , {Litigation and Dispute Resolution} , {Attention to Detail} , {Intellectual Property Rights} , {Continuous Learning and Staying Updated with Legal Developments} , {Adaptability and Flexibility} , {Data Privacy and Protection",55000
Chiranjiv Patel Desai,Recruitment Specialist,88,Human Resources (HR),Senior/Lead,0.92,8.6,11,71,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Problem Solving and Decision Making} , {Training and Development} , {Recruitment and Selection} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {Empathy and Emotional Intelligence} , {HR Analytics and Reporting} , {Leadership and Team Management} , {Adaptability and Flexibility} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration} , {HRIS (Human Resources Information System) Management",126000
Daivat Rao Prasad,Training and Development Manager,87,Human Resources (HR),Senior/Lead,0.0,7.7,13,60,"Business Acumen and Strategic Thinking} , {Time Management and Organization} , {Training and Development} , {Recruitment and Selection} , {Confidentiality and Trustworthiness} , {Communication and Interpersonal Skills} , {HR Analytics and Reporting} , {Performance Management} , {Empathy and Emotional Intelligence} , {Problem Solving and Decision Making} , {HRIS (Human Resources Information System) Management",113000
Chintak Dhawan,Customer Support Specialist,78,Customer Support,Senior/Lead,0.77,7.8,6,35,"Ticketing Systems and CRM Software} , {Product Knowledge} , {Time Management and Organization} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Conflict Resolution and Diplomacy} , {Customer Data Management} , {Problem Solving and Critical Thinking} , {Remote Desktop and Screen Sharing} , {Communication Tools (e.g., Live Chat, Email)",89000
Bhavnish Thakur,Brand Manager,75,Sales and Marketing,Entry Level/Junior,0.88,0.1,5,41,"Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Digital Marketing and Analytics} , {Leadership and Mentoring} , {Communication and Interpersonal Skills} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions",100000
Akhilendra Dayal,Regulatory Affairs Specialist,80,Legal and Compliance,Mid-Level/Intermediate,0.74,5.3,7,43,"Legal Writing and Documentation} , {Legal Research and Analysis} , {Analytical and Critical Thinking} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Teamwork and Collaboration} , {Risk Assessment and Management} , {Contract Drafting and Review} , {Communication and Negotiation Skills} , {Problem Solving and Decision Making} , {Data Privacy and Protection} , {Corporate Governance",76000
Lalit Goel,Regulatory Affairs Specialist,83,Legal and Compliance,Senior/Lead,0.8,5.1,12,70,"Mergers and Acquisitions} , {Legal Writing and Documentation} , {Litigation and Dispute Resolution} , {Regulatory Compliance} , {Ethical Conduct and Professionalism} , {Attention to Detail} , {Contract Drafting and Review} , {Risk Assessment and Management} , {Communication and Negotiation Skills} , {Continuous Learning and Staying Updated with Legal Developments} , {Problem Solving and Decision Making} , {Data Privacy and Protection",88000
Chaaya Iyer Menon,Digital Marketer,84,Sales and Marketing,Entry Level/Junior,0.2,0.1,0,51,"Sales Forecasting and Planning} , {Social Media Marketing} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Digital Marketing and Analytics} , {Market Research and Analysis",67000
Amruta Bhasin,Database Administrator,90,Information Technology (IT),Entry Level/Junior,0.73,0.3,0,96,"Communication and Collaboration} , {IT Troubleshooting and Support} , {Database Management} , {Cloud Computing",74000
Shantai Sharma Kapoor,Web Developer,83,Information Technology (IT),Mid-Level/Intermediate,0.32,4.5,15,39,"IT Service Management} , {Programming and Software Development} , {System Administration} , {Customer Service and Relationship Management} , {Database Management} , {Vendor Management and Contract Negotiation} , {IT Governance and Compliance} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Analytical and Data Interpretation Skills",95000
Ishaan Sen Mukhopadhyay,Scrum Master,76,Project Management,Mid-Level/Intermediate,0.53,3.1,15,63,"Quality Management} , {Project Monitoring and Control} , {Resource Allocation and Management} , {Project Planning and Scheduling} , {Budgeting and Financial Management} , {Presentation and Public Speaking} , {Strategic Thinking and Planning} , {Reporting and Documentation} , {Continuous Improvement and Learning} , {Adaptability and Flexibility} , {Conflict Resolution} , {Change Management} , {Stakeholder Engagement",96000
Nila Bajwa,Software Engineer,85,Information Technology (IT),Entry Level/Junior,0.02,0.8,3,91,"Programming and Software Development} , {System Administration} , {Vendor Management and Contract Negotiation} , {Network and Infrastructure Management} , {IT Troubleshooting and Support} , {Cloud Computing} , {Communication and Collaboration} , {Cybersecurity and Data Protection",79000
Saarik Singh,Network Administrator,79,Information Technology (IT),Associate/Specialist,0.81,3.2,5,30,"IT Risk Assessment and Mitigation} , {Programming and Software Development} , {System Administration} , {Database Management} , {Vendor Management and Contract Negotiation} , {IT Troubleshooting and Support} , {IT Governance and Compliance} , {Cloud Computing} , {Communication and Collaboration} , {IT Project Management} , {Adaptability and Flexibility} , {Continuous Learning and Professional Development",85000
Monisha Malhotra,Marketing Manager,89,Sales and Marketing,Mid-Level/Intermediate,0.72,5.3,18,85,"Relationship Building and Networking} , {Market Research and Analysis} , {Sales Forecasting and Planning} , {Product/Service Positioning and Branding} , {Negotiation and Persuasion} , {Digital Marketing and Analytics} , {Sales Funnel Management} , {Teamwork and Collaboration} , {Time Management and Prioritization} , {Communication and Interpersonal Skills} , {Customer Relationship Management (CRM)} , {Pricing Strategies and Competitive Analysis} , {Advertising and Promotions",184000
Banjeet Shah,Employee Relations Specialist,66,Human Resources (HR),Entry Level/Junior,1.0,0.0,0,62,"Training and Development} , {Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Employee Engagement and Retention} , {HR Compliance and Legal Knowledge} , {Employee Onboarding and Offboarding",69000
Kanisha Mukherjee,HR Manager,88,Human Resources (HR),Entry Level/Junior,0.25,0.3,0,32,"Recruitment and Selection} , {Employee Relations and Conflict Resolution} , {Leadership and Team Management} , {Performance Management} , {Problem Solving and Decision Making} , {Employee Onboarding and Offboarding} , {Compensation and Benefits Administration",208000
Ashvaghosha Dixit,Call Center Supervisor,76,Customer Support,Mid-Level/Intermediate,0.42,4.8,2,35,"Ticketing Systems and CRM Software} , {Empathy and Customer Focus} , {Quality Assurance and Call Monitoring} , {Technical Documentation and FAQ Creation} , {Positive Attitude and Professionalism} , {Customer Data Management} , {Knowledge Base and Self-Service Platforms} , {Communication and Active Listening} , {Remote Desktop and Screen Sharing} , {Adaptability and Flexibility} , {Troubleshooting and Problem Solving",67000
Bhaskara Patel Desai,Team Lead,86,Project Management,Mid-Level/Intermediate,0.22,3.3,28,48,"Quality Management} , {Project Monitoring and Control} , {Resource Allocation and Management} , {Stakeholder Engagement} , {Budgeting and Financial Management} , {Contract and Procurement Management} , {Stakeholder Management} , {Reporting and Documentation} , {Leadership and Team Management} , {Time Management and Prioritization} , {Problem Solving and Decision Making} , {Conflict Resolution} , {Change Management} , {Presentation and Public Speaking",93000
Kanan Amin,Compliance Officer,81,Legal and Compliance,Entry Level/Junior,0.98,0.6,2,69,"Litigation and Dispute Resolution} , {Regulatory Compliance} , {Risk Assessment and Management} , {Data Privacy and Protection} , {Corporate Governance",50000
